ID;Job tenure;Age;Car price;Funding amount;Down payment;Loan duration;Monthly payment;Credit event;Married;Homeowner;Default (y);Pred_default (y_hat);PD;Group
5988;13;33;14990;11990;0;48;0,0751;0;1;1;0;0;0,0108;1
5989;15;71;15400;5400;1;36;0,1325;0;1;1;0;0;0,0032;1
5990;28;50;3030;3030;0;12;0,1224;0;1;0;0;0;0,0369;1
5991;9;37;22100;22100;0;96;0,1350;0;0;0;0;0;0,2223;0
5992;0;35;12680;9680;0;24;0,0169;0;1;0;1;0;0,0547;0
5993;29;51;5300;5215;0;60;0,0458;0;1;1;1;0;0,0723;1
5994;16;48;13870;9725;0;60;0,0778;0;1;0;0;0;0,0235;1
5995;0;42;7200;8025;0;72;0,1389;0;0;0;1;0;0,3275;0
5996;2;45;4500;4500;0;24;0,0370;0;1;0;0;0;0,3546;0
5997;1;43;12500;11432;0;60;0,2108;0;0;0;0;0;0,1317;0
5998;11;47;25190;25190;0;96;0,0903;0;1;1;0;0;0,1364;1
5999;8;33;25858;25972;0;72;0,1411;0;0;0;1;0;0,2484;0
6000;8;46;10497;11678;0;48;0,1333;0;1;0;0;0;0,1179;1
6001;5;31;21895;24053;0;72;0,2040;0;0;0;1;1;0,6704;0
6002;12;78;11155;11284;0;60;0,0933;0;1;0;0;0;0,1587;1
6003;2;47;9695;9978;0;60;0,0877;0;0;0;0;0;0,4749;0
6004;25;50;14990;3710;1;24;0,0947;0;1;1;0;0;0,0033;1
6005;39;60;20666;21147;0;48;0,0829;0;1;0;0;0;0,1398;1
6006;2;41;27990;27294;0;72;0,1789;0;0;0;1;1;0,6067;0
6007;0;40;21495;18971;0;60;0,1484;0;0;0;0;0;0,1104;0
6008;6;60;14756;14756;0;60;0,1084;0;1;1;0;0;0,1903;1
6009;16;42;19910;20336;0;84;0,1410;0;1;0;0;0;0,0874;1
6010;13;36;6200;7173;0;72;0,0659;0;0;1;0;0;0,1137;0
6011;37;60;4651;3371;0;48;0,0389;0;0;0;0;0;0,1342;0
6012;6;48;11950;9950;0;36;0,0940;0;0;0;0;0;0,0443;0
6013;3;26;7650;9225;0;96;0,0859;0;0;0;0;1;0,5347;0
6014;23;50;10900;4689;1;48;0,0379;0;1;0;0;0;0,0164;1
6015;2;41;18685;18685;0;60;0,0869;0;1;0;1;1;0,5893;0
6016;3;23;12600;12600;0;60;0,0906;0;0;0;0;0;0,1011;0
6017;20;44;7990;8672;0;60;0,0443;0;0;0;0;1;0,5293;0
6018;7;67;21250;21250;0;48;0,1621;0;1;1;0;0;0,1143;1
6019;10;69;6350;7443;0;60;0,1218;0;1;0;0;0;0,3587;1
6020;3;51;10490;8490;0;36;0,1018;0;1;1;0;0;0,0310;0
6021;1;54;33485;26485;0;96;0,0767;0;1;1;0;0;0,3963;0
6022;9;32;14050;7886;0;60;0,0698;0;0;0;0;0;0,0301;0
6023;6;48;5000;5433;0;60;0,0667;0;1;1;0;0;0,2531;1
6024;2;41;7990;8677;0;60;0,0401;0;1;0;0;1;0,7753;0
6025;8;46;3700;3185;0;24;0,0616;0;1;1;0;0;0,0189;1
6026;27;53;11975;10975;0;60;0,0831;0;1;1;0;0;0,0544;1
6027;14;75;8300;5300;0;96;0,0620;0;0;0;0;0;0,1719;0
6028;0;28;14500;6000;1;60;0,0838;0;0;1;0;0;0,1067;0
6029;2;31;18990;18990;0;60;0,1836;0;0;0;1;1;0,6144;0
6030;7;67;20000;20790;0;60;0,1657;0;1;0;0;0;0,4623;1
6031;19;40;8590;9288;0;72;0,0652;0;1;0;0;0;0,1822;1
6032;10;49;16990;16747;0;96;0,0971;0;1;1;0;0;0,1317;1
6033;0;47;10970;12759;0;72;0,0975;0;1;1;0;0;0,0582;0
6034;5;53;9980;8680;0;48;0,0295;0;1;1;0;0;0,0808;0
6035;8;40;13970;11970;0;48;0,0724;0;1;0;0;0;0,0247;1
6036;21;41;9408;10201;0;60;0,0993;0;1;1;0;0;0,0903;1
6037;0;21;16990;16990;0;96;0,1212;0;0;0;1;1;0,6875;0
6038;25;62;9385;9385;0;48;0,0623;0;1;1;0;0;0,0842;1
6039;0;21;17990;20070;0;48;0,1839;0;0;0;1;1;0,7837;0
6040;1;30;13790;14984;0;72;0,1600;0;1;0;1;0;0,4559;0
6041;1;43;25200;22700;0;48;0,0652;0;1;1;0;0;0,1665;0
6042;4;36;9950;11215;0;96;0,0756;0;0;0;1;0;0,2710;0
6043;15;75;9900;5015;0;60;0,0723;0;1;1;0;0;0,0291;1
6044;20;39;5300;4700;0;36;0,0621;0;1;1;0;0;0,0148;1
6045;5;49;17500;17500;0;96;0,0935;0;0;0;1;0;0,0330;0
6046;14;32;21657;18766;0;72;0,0471;0;1;1;0;0;0,0596;1
6047;10;50;9539;11299;0;84;0,1060;0;0;0;0;0;0,2675;0
6048;21;86;3040;3154;0;48;0,1291;0;0;1;0;0;0,1160;0
6049;1;22;10900;11934;0;36;0,1680;0;0;0;0;0;0,2317;0
6050;8;45;8104;8104;0;60;0,0381;0;0;0;0;0;0,1515;0
6051;11;72;10490;10490;0;48;0,2332;0;0;0;0;1;0,5011;0
6052;22;46;11450;12586;0;72;0,0691;1;1;0;1;0;0,4076;0
6053;1;25;11285;10351;0;96;0,0615;0;0;0;0;0;0,0655;0
6054;2;48;12000;13957;0;72;0,1038;0;1;0;0;0;0,1942;0
6055;29;61;15250;7250;0;36;0,1064;0;0;1;0;0;0,0063;0
6056;0;58;5990;2059;1;24;0,0712;0;0;0;0;0;0,1708;0
6057;6;47;11636;12539;0;48;0,1186;0;1;0;0;0;0,2013;1
6058;11;38;15340;11340;0;36;0,1595;0;0;0;0;0;0,0639;0
6059;10;44;15990;15990;0;60;0,1131;0;1;0;0;0;0,2677;1
